City,Country,Lat,Temp,Cloudiness,Humidity,WindSpeed,Date
puerto ayora,EC,-0.74,75.2,40.0,69.0,10.29,1603837340
bethel,US,41.37,53.6,40.0,54.0,3.36,1603837199
yellowknife,CA,62.46,17.6,75.0,67.0,6.93,1603837361
chuy,UY,-33.7,61.72,100.0,94.0,14.05,1603837335
albany,US,42.6,48.99,100.0,64.0,2.39,1603837260
puerto cabezas,NI,14.04,80.6,40.0,94.0,4.7,1603837368
samarai,PG,-10.62,81.93,25.0,83.0,8.88,1603837088
saint-philippe,RE,-21.36,73.4,0.0,64.0,5.82,1603837368
qaqortoq,GL,60.72,32.0,100.0,99.0,1.12,1603837345
longyearbyen,SJ,78.22,32.0,75.0,93.0,3.36,1603837352
vanavara,RU,60.34,20.73,100.0,92.0,10.29,1603837362
northam,GB,51.03,48.99,15.0,84.0,11.99,1603837369
bekovo,RU,52.47,32.81,21.0,89.0,7.9,1603837369
paamiut,GL,61.99,27.75,68.0,85.0,18.25,1603837369
cayenne,GF,4.93,84.2,0.0,74.0,9.17,1603837064
sabang,ID,5.89,82.02,94.0,73.0,18.05,1603837369
olafsvik,IS,64.89,39.92,94.0,69.0,18.86,1603837369
kodiak,US,57.79,46.4,20.0,49.0,10.29,1603837348
eureka,US,40.8,73.99,1.0,42.0,6.93,1603837370
ewa beach,US,21.32,82.4,40.0,69.0,3.36,1603837370
hermanus,ZA,-34.42,61.0,100.0,92.0,4.83,1603837337
umm kaddadah,SD,13.6,84.61,0.0,19.0,14.52,1603837370
ushuaia,AR,-54.8,46.4,20.0,42.0,11.41,1603836776
butaritari,KI,3.07,81.16,100.0,66.0,5.41,1603837336
bom jardim,BR,-7.8,75.2,40.0,78.0,18.34,1603837370
santa cruz,BO,-17.8,86.0,0.0,45.0,14.99,1603837314
severo-kurilsk,RU,50.68,43.63,13.0,83.0,5.84,1603837371
luganville,VU,-15.53,82.4,40.0,74.0,6.93,1603837371
san carlos de bariloche,AR,-41.15,42.8,40.0,70.0,21.92,1603837371
isabela,PH,6.71,77.0,75.0,83.0,6.93,1603837371
hobart,AU,-42.88,55.99,75.0,81.0,1.12,1603836998
vanimo,PG,-2.67,81.28,99.0,73.0,4.54,1603837371
itigi,TZ,-5.7,67.89,21.0,66.0,9.31,1603837371
rikitea,PF,-23.12,75.38,100.0,83.0,17.0,1603837340
avarua,CK,-21.21,69.8,100.0,94.0,8.05,1603836776
punta arenas,CL,-53.15,46.4,0.0,58.0,21.92,1603837351
cabildo,AR,-38.48,64.99,96.0,51.0,1.99,1603837372
san cristobal,VE,7.77,87.8,40.0,55.0,10.29,1603837360
jamestown,US,42.1,45.0,90.0,87.0,8.05,1603836776
mar del plata,AR,-38.0,62.6,0.0,45.0,10.29,1603837149
sisimiut,GL,66.94,18.39,0.0,88.0,9.46,1603837372
halifax,CA,44.65,42.01,56.0,87.0,8.99,1603837236
khatanga,RU,71.97,-3.14,66.0,92.0,10.87,1603837372
saskylakh,RU,71.92,5.25,100.0,93.0,10.25,1603837361
lasa,IT,46.62,43.0,0.0,92.0,3.36,1603837373
sahuaripa,MX,29.05,65.28,0.0,22.0,4.52,1603837373
san quintin,MX,30.48,70.65,0.0,23.0,9.69,1603837373
hoghiz,RO,45.98,45.0,88.0,90.0,3.0,1603837373
yuanping,CN,38.72,42.96,100.0,49.0,4.56,1603837374
bambous virieux,MU,-20.34,70.0,6.0,79.0,3.0,1603837361
kakching,IN,24.48,64.58,23.0,95.0,0.92,1603837374
cape town,ZA,-33.93,64.0,75.0,87.0,5.82,1603837210
talara,PE,-4.58,67.03,10.0,81.0,16.17,1603837374
nemuro,JP,43.32,50.31,100.0,70.0,3.0,1603837374
omsukchan,RU,62.53,10.13,1.0,78.0,2.77,1603837374
berdigestyakh,RU,62.1,4.86,100.0,92.0,4.29,1603837375
iqaluit,CA,63.75,19.4,90.0,79.0,2.24,1603837320
lebu,CL,-37.62,52.74,97.0,71.0,13.31,1603837336
fortuna,US,40.6,73.99,20.0,37.0,14.99,1603837375
esperance,AU,-33.87,55.4,98.0,100.0,9.17,1603837375
leshukonskoye,RU,64.9,39.34,100.0,97.0,9.35,1603837375
sitka,US,57.05,46.4,90.0,87.0,9.17,1603837347
gat,IL,31.61,75.99,50.0,100.0,3.4,1603837365
leningradskiy,RU,69.38,17.8,0.0,90.0,18.3,1603837376
nikolskoye,RU,59.7,51.8,90.0,87.0,8.95,1603837373
lahij,YE,13.17,72.54,25.0,62.0,4.27,1603837376
victoria,HK,22.29,77.0,49.0,76.0,3.0,1603837091
bluff,NZ,-46.6,57.0,21.0,67.0,1.99,1603837339
pevek,RU,69.7,20.48,100.0,97.0,14.7,1603837376
kahului,US,20.89,87.8,40.0,55.0,8.05,1603837190
ancud,CL,-41.87,48.0,90.0,87.0,17.22,1603837342
rincon de la victoria,ES,36.72,64.4,0.0,42.0,16.11,1603837377
vigeland,NO,58.08,51.01,49.0,78.0,5.01,1603837377
coahuayana,MX,18.73,82.4,75.0,74.0,13.87,1603837377
mazagao,BR,-0.12,86.0,0.0,74.0,13.87,1603837377
tatarskaya kargala,RU,51.95,23.0,0.0,92.0,4.47,1603837377
rosetta,EG,31.4,73.4,40.0,60.0,6.93,1603837377
berbera,SO,10.44,80.78,3.0,60.0,7.0,1603837377
bredasdorp,ZA,-34.53,64.4,100.0,77.0,4.7,1603837339
klaksvik,FO,62.23,42.8,89.0,87.0,10.29,1603837345
mataura,NZ,-46.19,57.0,6.0,67.0,1.99,1603837337
yulara,AU,-25.24,60.8,0.0,31.0,5.82,1603837363
shu,KZ,43.6,37.98,95.0,63.0,4.92,1603837378
dudinka,RU,69.41,-5.06,0.0,87.0,5.41,1603837378
souillac,MU,-20.52,70.0,7.0,79.0,3.0,1603837372
kapaa,US,22.08,84.0,75.0,69.0,3.36,1603837344
castro,BR,-24.79,64.67,0.0,58.0,4.5,1603837345
san patricio,US,28.02,62.6,90.0,87.0,17.22,1603837379
lavrentiya,RU,65.58,30.83,100.0,93.0,10.42,1603837349
ahuimanu,US,21.44,82.4,20.0,69.0,4.7,1603837372
siva,EG,29.2,70.2,39.0,44.0,7.92,1603837379
louis trichardt,ZA,-23.04,67.87,0.0,51.0,3.89,1603837379
black river,JM,18.03,84.99,75.0,79.0,12.75,1603837379
alofi,NU,-19.06,77.0,75.0,78.0,19.46,1603837378
kruisfontein,ZA,-34.0,60.01,33.0,94.0,1.01,1603837379
barrow,US,71.29,30.2,75.0,63.0,21.92,1603837353
atar,MR,20.52,86.61,0.0,18.0,10.4,1603837380
lufilufi,WS,-13.87,86.0,75.0,70.0,12.75,1603837380
pisco,PE,-13.7,69.8,0.0,68.0,20.8,1603837366
trelleborg,SE,55.38,50.0,0.0,81.0,14.99,1603837380
aklavik,CA,68.22,10.4,75.0,92.0,4.7,1603837171
warmbad,NA,-28.45,64.22,75.0,28.0,8.59,1603837380
akle,PH,15.05,80.01,75.0,94.0,2.24,1603837380
port alfred,ZA,-33.59,65.35,29.0,83.0,15.03,1603837339
tiksi,RU,71.69,-1.73,39.0,90.0,11.36,1603837340
elmadag,TR,39.92,62.01,0.0,50.0,3.89,1603837381
adeje,ES,28.12,71.01,20.0,68.0,17.22,1603837381
tura,IN,25.52,68.23,0.0,88.0,4.12,1603837381
paramonga,PE,-10.67,65.52,100.0,80.0,6.71,1603837358
new norfolk,AU,-42.78,55.99,71.0,79.0,3.65,1603837363
arraial do cabo,BR,-22.97,75.2,0.0,83.0,14.99,1603837337
muros,ES,42.78,59.0,99.0,93.0,1.99,1603837354
vaini,TO,-21.2,77.0,20.0,78.0,12.75,1603837342
thompson,CA,55.74,26.6,75.0,58.0,9.17,1603837360
sioux lookout,CA,50.1,26.6,90.0,79.0,11.41,1603837356
wanning,CN,18.8,78.08,100.0,89.0,24.4,1603837382
san rafael,AR,-34.62,73.17,1.0,21.0,9.69,1603837382
nichinan,JP,31.6,62.6,75.0,88.0,6.93,1603837382
cidreira,BR,-30.18,61.61,96.0,88.0,13.2,1603837364
richards bay,ZA,-28.78,73.31,100.0,77.0,11.65,1603837382
grand gaube,MU,-20.01,70.0,0.0,79.0,3.0,1603837369
straumen,NO,63.87,45.0,0.0,80.0,8.05,1603837383
jos,NG,9.92,66.99,28.0,41.0,1.36,1603837383
novikovo,RU,51.15,43.05,40.0,68.0,9.13,1603837383
chizhou,CN,30.66,59.25,62.0,90.0,5.08,1603837383
hualmay,PE,-11.1,65.86,98.0,79.0,7.52,1603837383
qaanaaq,GL,77.48,10.63,92.0,80.0,13.13,1603837339
takoradi,GH,4.88,78.28,100.0,87.0,8.37,1603837373
bonavista,CA,48.65,37.99,100.0,82.0,5.01,1603837383
grua,NO,60.27,45.0,75.0,100.0,13.87,1603837384
muskogee,US,35.58,41.0,90.0,100.0,10.29,1603837384
inirida,CO,3.87,80.89,97.0,88.0,3.02,1603837384
busselton,AU,-33.65,57.99,17.0,77.0,7.29,1603837338
camacha,PT,33.08,66.2,40.0,68.0,3.36,1603837337
male,MV,4.17,82.02,44.0,78.0,11.36,1603837384
tuktoyaktuk,CA,69.45,12.2,90.0,85.0,11.41,1603837346
novomikhaylovskiy,RU,44.26,65.26,0.0,51.0,5.61,1603837385
bondoukou,CI,8.03,75.92,72.0,68.0,1.63,1603837385
shache,CN,38.42,37.36,53.0,67.0,1.95,1603837385
buala,SB,-8.14,84.36,3.0,72.0,2.59,1603837374
gaillac,FR,43.9,51.01,100.0,98.0,1.99,1603837385
traiguen,CL,-38.25,51.85,100.0,60.0,8.55,1603837385
guerrero negro,MX,27.98,74.71,0.0,20.0,21.39,1603837094
sechura,PE,-5.56,73.83,48.0,61.0,16.46,1603837386
baruun-urt,MN,46.68,25.83,0.0,77.0,6.58,1603837386
ust-nera,RU,64.57,7.43,91.0,76.0,2.48,1603837386
asau,RO,46.43,50.0,0.0,98.0,1.52,1603837338
salalah,OM,17.02,78.8,20.0,69.0,3.36,1603837268
dikson,RU,73.51,9.45,100.0,96.0,16.49,1603837384
minab,IR,27.15,69.8,0.0,83.0,6.93,1603837386
roma,US,43.21,43.0,90.0,81.0,3.36,1603837322
ahipara,NZ,-35.17,69.42,49.0,61.0,2.24,1603837370
tasiilaq,GL,65.61,33.8,100.0,40.0,10.29,1603837357
hami,CN,42.8,42.89,0.0,52.0,7.47,1603837387
lerwick,GB,60.15,50.0,20.0,71.0,10.29,1603837341
soloneshnoye,RU,51.65,36.82,82.0,87.0,7.61,1603837269
najran,SA,17.49,60.8,0.0,26.0,2.04,1603837346
kasane,BW,-17.82,75.94,0.0,31.0,5.64,1603837387
ongandjera,NA,-17.88,77.34,82.0,21.0,13.78,1603837387
aykhal,RU,66.0,-11.83,68.0,88.0,4.9,1603837387
hay river,CA,60.82,24.8,75.0,73.0,12.75,1603837264
bandipur,NP,27.93,55.9,0.0,79.0,2.64,1603837388
gillette,US,44.29,41.0,1.0,56.0,6.93,1603837160
dunedin,NZ,-45.87,53.01,0.0,68.0,15.99,1603837377
kamiiso,JP,41.82,44.6,20.0,87.0,4.7,1603837388
taoudenni,ML,22.68,84.15,3.0,15.0,7.99,1603837344
oyama,JP,36.3,63.0,40.0,93.0,6.93,1603837388
huarmey,PE,-10.07,67.24,100.0,74.0,7.31,1603837388
saint-joseph,RE,-21.37,73.4,0.0,64.0,5.82,1603837389
srednekolymsk,RU,67.45,14.41,99.0,87.0,3.89,1603837350
ribeira grande,PT,38.52,62.6,75.0,72.0,6.93,1603837372
norman wells,CA,65.28,19.4,40.0,79.0,13.87,1603837384
hithadhoo,MV,-0.6,83.52,95.0,66.0,9.66,1603837342
constitucion,CL,-35.33,54.61,7.0,59.0,12.44,1603837382
kavieng,PG,-2.57,83.79,97.0,67.0,3.02,1603837369
pafos,CY,34.77,73.4,40.0,73.0,8.05,1603837389
faanui,PF,-16.48,79.88,60.0,82.0,19.24,1603837351
atuona,PF,-9.8,78.96,1.0,72.0,20.4,1603837339
muli,MV,2.92,81.99,53.0,80.0,15.21,1603837390
tuatapere,NZ,-46.13,57.0,9.0,67.0,1.99,1603837390
vila franca do campo,PT,37.72,64.4,75.0,63.0,6.93,1603837390
elat,IL,29.56,82.4,0.0,28.0,11.41,1603837201
oriximina,BR,-1.77,84.22,100.0,66.0,1.88,1603837390
husavik,IS,66.04,37.4,90.0,64.0,6.93,1603837390
bengkulu,ID,-3.8,75.45,98.0,82.0,3.18,1603837352
port elizabeth,ZA,-33.92,62.6,0.0,88.0,19.46,1603837365
madera,US,37.17,72.0,0.0,23.0,3.0,1603837391
lorengau,PG,-2.02,83.64,95.0,69.0,3.15,1603837391
quatre cocos,MU,-20.21,70.0,7.0,79.0,3.0,1603837391
nicoya,CR,10.15,80.6,75.0,88.0,8.05,1603837391
east london,ZA,-33.02,70.34,29.0,86.0,5.5,1603837341
vestmannaeyjar,IS,63.44,41.63,28.0,69.0,30.11,1603837391
avera,US,33.19,78.8,1.0,69.0,3.36,1603837260
aguimes,ES,27.91,71.6,75.0,64.0,17.22,1603837392
clyde river,CA,70.47,10.4,20.0,72.0,10.29,1603837392
college,US,64.86,30.2,75.0,80.0,6.93,1603837357
el alto,PE,-4.27,67.17,10.0,79.0,20.13,1603837392
sao borja,BR,-28.66,67.19,0.0,66.0,5.77,1603837392
amalapuram,IN,16.58,74.03,60.0,80.0,4.03,1603837392
vytegra,RU,61.01,45.72,100.0,87.0,9.75,1603837203
lompoc,US,34.64,71.01,1.0,43.0,14.99,1603837134
coffs harbour,AU,-30.3,66.2,90.0,82.0,8.05,1603837393
at-bashi,KG,41.17,34.47,92.0,71.0,4.43,1603837376
mahebourg,MU,-20.41,70.0,5.0,79.0,3.0,1603837353
mouila,GA,-1.87,73.87,100.0,95.0,3.69,1603837393
san nicolas,PH,18.17,78.8,90.0,100.0,2.24,1603837152
olpad,IN,21.33,76.77,0.0,45.0,4.09,1603837393
chapais,CA,49.78,24.8,90.0,68.0,8.05,1603837394
tiznit,MA,29.58,62.85,0.0,65.0,1.28,1603837394
faya,SA,18.39,59.0,0.0,24.0,4.79,1603837394
wellington,NZ,-41.29,61.0,100.0,67.0,9.17,1603837246
carnarvon,AU,-24.87,66.2,0.0,88.0,19.46,1603837349
brewster,US,41.4,53.6,90.0,54.0,5.82,1603837274
ranong,TH,9.97,78.64,92.0,83.0,7.09,1603837394
weiser,US,44.25,57.2,1.0,26.0,0.83,1603837215
chanthaburi,TH,12.83,80.01,95.0,89.0,2.37,1603837394
broken hill,AU,-31.95,53.6,0.0,81.0,11.41,1603837395
salym,RU,60.06,12.97,92.0,95.0,9.86,1603837395
high prairie,CA,55.43,42.39,92.0,71.0,10.2,1603837395
lixourion,GR,38.2,65.62,100.0,73.0,10.36,1603837395
great falls,US,47.5,42.8,1.0,60.0,26.4,1603837395
kpandae,GH,8.47,79.47,97.0,63.0,4.9,1603837395
beringovskiy,RU,63.05,27.19,85.0,92.0,11.88,1603837395
kashi,CN,39.45,48.2,0.0,36.0,8.95,1603837396
kilindoni,TZ,-7.91,78.22,3.0,83.0,10.85,1603837396
chokurdakh,RU,70.63,11.66,100.0,97.0,1.36,1603837356
ossora,RU,59.24,33.35,79.0,89.0,7.45,1603837396
daru,PG,-9.08,80.6,100.0,84.0,6.17,1603837396
portland,US,45.52,59.0,1.0,47.0,3.36,1603837060
kautokeino,NO,69.01,29.32,100.0,97.0,5.21,1603837396
arrecife,ES,28.96,69.8,75.0,73.0,9.17,1603837396
acurenam,GQ,1.03,69.89,100.0,98.0,4.07,1603837397
san,ML,13.3,79.66,100.0,16.0,3.8,1603837397
provideniya,RU,64.38,32.0,90.0,96.0,4.47,1603837101
touros,BR,-5.2,80.6,0.0,78.0,13.87,1603837374
trairi,BR,-3.28,78.96,82.0,79.0,10.94,1603837397
cherskiy,RU,68.75,11.8,99.0,93.0,8.23,1603837367
ambilobe,MG,-13.2,72.05,1.0,87.0,2.51,1603837397
ponta delgada,PT,37.73,64.4,75.0,63.0,6.93,1603837365
zhanaozen,KZ,43.3,36.01,0.0,70.0,12.39,1603837397
varniai,LT,55.74,51.8,90.0,93.0,11.41,1603837398
hilo,US,19.73,78.8,90.0,83.0,6.93,1603837336
udankudi,IN,8.43,80.64,83.0,73.0,2.04,1603837398
hofn,IS,64.25,37.4,100.0,79.0,21.27,1603837341
bilma,NE,18.69,71.33,0.0,22.0,3.53,1603837351
oksfjord,NO,70.24,37.4,75.0,76.0,8.05,1603837398
plaisance-du-touch,FR,43.57,55.4,75.0,82.0,3.36,1603837398
port hardy,CA,50.7,48.2,90.0,93.0,9.17,1603837364
bambanglipuro,ID,-7.95,75.94,75.0,89.0,4.88,1603837399
pasni,PK,25.26,73.8,0.0,50.0,6.06,1603837399
kampong thum,KH,12.71,74.34,100.0,81.0,11.01,1603837118
sao filipe,CV,14.9,81.68,100.0,71.0,4.16,1603837351
rozivka,UA,46.94,53.02,0.0,64.0,13.18,1603837399
mehtar lam,AF,34.67,60.71,0.0,31.0,0.51,1603837399
ilulissat,GL,69.22,17.6,62.0,61.0,3.27,1603837362
novodolinskiy,KZ,49.7,30.2,90.0,86.0,17.9,1603837399
laramie,US,41.31,17.6,1.0,67.0,4.27,1603837400
airai,TL,-8.93,62.74,12.0,94.0,1.36,1603837367
demyanovo,RU,60.35,36.09,94.0,90.0,10.09,1603837400
beloha,MG,-25.17,69.51,2.0,86.0,13.11,1603837400
la ronge,CA,55.1,28.4,90.0,86.0,11.41,1603837348
meulaboh,ID,4.14,75.11,64.0,88.0,4.45,1603837345
luderitz,NA,-26.65,58.41,19.0,74.0,8.41,1603837349
xichang,CN,27.9,61.57,84.0,78.0,0.58,1603837400
north bend,US,43.41,63.0,1.0,51.0,17.22,1603837134
ishigaki,JP,24.34,77.0,20.0,78.0,11.41,1603837351
nakusp,CA,50.25,35.01,94.0,79.0,3.0,1603837401
oskaloosa,US,41.3,37.4,90.0,51.0,3.36,1603837401
santa isabel do rio negro,BR,-0.41,81.07,100.0,81.0,3.13,1603837401
quang ngai,VN,15.12,76.8,100.0,91.0,33.55,1603837229
torbay,CA,47.67,39.2,90.0,100.0,11.41,1603837381
otjimbingwe,NA,-22.35,71.28,25.0,22.0,3.44,1603837401
padang,ID,-0.95,77.11,96.0,73.0,3.62,1603837378
brae,GB,60.4,50.0,12.0,71.0,10.29,1603837341
honningsvag,NO,70.98,32.0,0.0,75.0,8.05,1603837402
polunochnoye,RU,60.87,24.89,97.0,96.0,5.08,1603837269
narsaq,GL,60.92,32.0,100.0,97.0,1.12,1603837393
gamba,GA,-2.65,77.27,100.0,87.0,5.59,1603837402
capiibary,PY,-24.8,70.72,0.0,63.0,2.33,1603837402
nome,US,64.5,32.0,90.0,95.0,3.36,1603837342
