City,Country,Lat,Temp,Cloudiness,Humidity,WindSpeed,Date
wellsford,NZ,-36.28,71.01,85.0,74.0,1.99,1603837402
shakiso,ET,5.75,59.49,66.0,94.0,1.79,1603837403
isla mujeres,MX,21.23,82.4,90.0,83.0,11.41,1603837202
pietarsaari,FI,63.65,46.0,0.0,100.0,10.29,1603837403
margate,GB,51.38,51.01,22.0,88.0,1.99,1603837264
saint george,US,37.1,61.0,1.0,9.0,3.36,1603837153
praya,CV,14.92,78.8,93.0,83.0,13.87,1603837403
mount isa,AU,-20.73,69.8,0.0,16.0,8.05,1603837404
general pico,AR,-35.66,72.23,85.0,49.0,3.87,1603837404
weihe,CN,33.0,43.97,100.0,77.0,5.23,1603837404
sosnytsya,UA,51.52,46.94,0.0,70.0,9.82,1603837404
ulaangom,MN,49.98,23.63,0.0,91.0,2.57,1603837404
geraldton,AU,-28.77,64.4,90.0,72.0,10.29,1603837360
ulladulla,AU,-35.35,59.0,75.0,87.0,8.05,1603837404
ipixuna,BR,-1.76,77.0,40.0,88.0,7.36,1603837404
port alberni,CA,49.24,57.0,99.0,82.0,5.01,1603837207
raudeberg,NO,61.99,48.0,89.0,76.0,10.09,1603837405
alice springs,AU,-23.7,64.4,0.0,23.0,5.82,1603837405
codrington,AU,-38.27,55.69,62.0,84.0,7.92,1603837405
georgetown,MY,5.41,78.8,40.0,94.0,4.34,1603837343
hasaki,JP,35.73,55.4,20.0,87.0,5.82,1603837405
kaitangata,NZ,-46.28,55.0,3.0,71.0,4.0,1603837343
erzin,TR,36.96,75.99,29.0,47.0,5.19,1603837405
nanortalik,GL,60.14,30.7,100.0,89.0,3.42,1603837335
puri,IN,19.8,75.97,9.0,62.0,8.43,1603837391
sayyan,YE,15.17,47.61,51.0,43.0,3.42,1603837406
miraflores,MX,19.22,77.0,40.0,27.0,8.05,1603837406
marawi,PH,8.0,73.99,100.0,91.0,5.01,1603837366
daitari,IN,21.1,66.56,0.0,55.0,4.29,1603837406
sainte-maxime,FR,43.3,57.0,0.0,66.0,2.24,1603837406
rurrenabaque,BO,-14.44,82.4,75.0,74.0,1.19,1603837406
havre-saint-pierre,CA,50.23,30.2,1.0,86.0,3.36,1603837362
toora-khem,RU,52.47,26.47,19.0,92.0,2.21,1603837407
izhma,RU,65.01,34.12,100.0,96.0,6.51,1603837347
atasu,KZ,48.68,30.72,99.0,98.0,10.42,1603837407
rudnyy,KZ,52.96,26.6,90.0,79.0,17.9,1603837407
bowen,AU,-20.02,75.2,66.0,88.0,4.7,1603837407
elizabeth city,US,36.29,68.0,90.0,88.0,5.77,1603837236
qingdao,CN,36.1,55.0,0.0,62.0,6.71,1603837407
sorong,ID,-0.88,79.93,100.0,82.0,5.93,1603837408
parchim,DE,53.43,48.99,70.0,87.0,7.0,1603837408
fukue,JP,32.69,67.64,60.0,61.0,9.31,1603837397
san policarpo,PH,12.18,79.2,58.0,82.0,3.33,1603837408
jiuquan,CN,39.74,37.4,96.0,73.0,5.75,1603837408
shaowu,CN,27.34,63.3,0.0,87.0,1.01,1603837408
bargarh,IN,21.33,67.8,0.0,55.0,2.19,1603837408
sao joao da barra,BR,-21.64,77.0,0.0,78.0,11.41,1603837284
mbala,ZM,-8.84,66.88,53.0,67.0,5.79,1603837408
oleksandrivka,UA,48.96,50.74,0.0,70.0,6.78,1603837409
cockburn town,TC,21.46,82.4,40.0,74.0,17.22,1603837409
sterling,US,39.01,63.0,75.0,67.0,3.36,1603837183
igrim,RU,63.19,19.22,100.0,97.0,5.53,1603837409
aswan,EG,24.09,80.87,0.0,32.0,10.76,1603837350
nueve de julio,AR,-35.44,66.0,29.0,65.0,1.99,1603837409
kasongo-lunda,CD,-6.47,72.1,71.0,92.0,0.78,1603837409
ponta do sol,PT,32.67,66.2,40.0,68.0,3.36,1603837350
floro,NO,61.6,50.0,75.0,76.0,8.05,1603837410
port blair,IN,11.67,79.36,54.0,78.0,3.49,1603837410
petropavlovsk-kamchatskiy,RU,53.05,33.8,75.0,100.0,2.24,1603837368
palakkad,IN,10.78,77.0,20.0,83.0,4.7,1603837410
porteirinha,BR,-15.74,80.26,86.0,65.0,3.06,1603837410
lagoa,PT,39.05,62.71,100.0,64.0,9.26,1603837410
vozuca,BA,44.36,44.6,1.0,93.0,2.24,1603837321
mitsamiouli,KM,-11.38,77.77,2.0,76.0,7.38,1603837410
mokrousovo,RU,55.81,24.73,98.0,94.0,18.61,1603837270
bang bo,TH,13.57,79.0,75.0,94.0,5.82,1603837411
knysna,ZA,-34.04,59.0,0.0,87.0,6.93,1603837347
kjopsvik,NO,68.1,37.99,1.0,86.0,6.93,1603837411
palmer,US,42.16,51.8,75.0,57.0,1.54,1603837354
fairbanks,US,64.84,30.2,90.0,92.0,9.17,1603837203
san jose,US,37.34,78.8,1.0,10.0,18.34,1603837281
antalaha,MG,-14.9,70.57,9.0,85.0,4.76,1603837402
sergeyevka,KZ,53.88,27.41,100.0,95.0,17.76,1603837411
namibe,AO,-15.2,70.9,96.0,78.0,4.47,1603837391
rabo de peixe,PT,37.8,64.4,75.0,63.0,6.93,1603837412
vasai,IN,19.47,80.6,40.0,69.0,3.36,1603837412
ribeira brava,PT,32.65,66.2,40.0,68.0,3.36,1603837412
suicheng,CN,33.9,56.88,97.0,60.0,7.99,1603837412
laguna,US,38.42,75.99,1.0,18.0,5.82,1603837381
saint-pierre,RE,-21.34,73.4,0.0,64.0,5.82,1603837413
ternate,ID,0.8,81.07,2.0,78.0,2.01,1603837413
jamame,SO,0.07,78.39,89.0,84.0,8.9,1603837413
yerbogachen,RU,61.28,17.29,79.0,97.0,4.25,1603837413
sorata,BO,-15.77,54.28,52.0,76.0,8.28,1603837413
pacific grove,US,36.62,73.99,1.0,18.0,8.05,1603837327
hamilton,US,39.18,52.0,90.0,87.0,8.05,1603837237
broome,US,42.25,48.99,90.0,75.0,2.91,1603837339
mansa,IN,29.98,63.1,0.0,27.0,0.87,1603837414
grenville,GD,12.12,82.4,40.0,83.0,14.99,1603837414
henties bay,NA,-22.12,59.0,38.0,88.0,4.72,1603837363
port hedland,AU,-20.32,71.6,75.0,88.0,4.7,1603837414
shetpe,KZ,44.17,34.5,2.0,74.0,9.33,1603837414
thinadhoo,MV,0.53,83.12,71.0,68.0,9.8,1603837414
krasnoselkup,RU,65.7,-1.93,0.0,88.0,13.94,1603837415
albury,AU,-36.08,62.01,90.0,82.0,5.82,1603837415
poum,NC,-20.23,77.0,72.0,74.0,11.92,1603837381
darhan,MN,49.49,30.06,0.0,86.0,6.53,1603837415
valparaiso,CL,-33.04,62.6,0.0,51.0,11.41,1603837127
jacareacanga,BR,-6.22,82.0,64.0,64.0,0.34,1603837415
sobolevo,RU,54.43,44.53,17.0,83.0,9.73,1603837402
makakilo city,US,21.35,82.4,40.0,69.0,3.36,1603837366
ust-koksa,RU,50.27,36.18,77.0,76.0,3.04,1603837416
naze,JP,28.37,73.4,75.0,73.0,8.05,1603837411
putai,FR,46.66,55.4,90.0,87.0,20.8,1603837416
port-gentil,GA,-0.72,78.8,75.0,88.0,6.93,1603837416
yar-sale,RU,66.83,2.37,61.0,92.0,6.2,1603837334
simbahan,PH,6.3,83.12,100.0,75.0,9.13,1603837416
kyshtovka,RU,56.55,29.08,69.0,97.0,15.52,1603837416
tahe,CN,52.33,22.69,100.0,93.0,9.28,1603837417
kudahuvadhoo,MV,2.67,81.95,54.0,78.0,13.58,1603837394
kargasok,RU,59.06,27.54,100.0,98.0,11.43,1603837417
iaciara,BR,-14.1,76.68,78.0,75.0,5.91,1603837417
turkistan,KZ,43.0,31.42,0.0,80.0,6.93,1603837417
novo aripuana,BR,-5.12,77.13,100.0,93.0,3.71,1603837417
vardo,NO,70.37,39.2,75.0,93.0,9.17,1603837368
emerald,AU,-23.53,71.01,90.0,88.0,4.7,1603837390
camana,PE,-16.62,65.68,48.0,68.0,7.4,1603837418
awbari,LY,26.59,71.28,0.0,23.0,4.18,1603837418
inta,RU,66.03,25.25,100.0,98.0,7.16,1603837418
zeya,RU,53.75,33.84,100.0,94.0,3.58,1603837040
berlevag,NO,70.86,33.8,0.0,86.0,6.93,1603837411
sturgeon bay,US,44.83,37.4,1.0,51.0,13.87,1603837418
colares,PT,38.8,62.01,100.0,93.0,10.25,1603837419
kununurra,AU,-15.77,78.8,99.0,94.0,3.33,1603837312
aksarka,RU,66.56,5.52,100.0,93.0,5.21,1603837419
te anau,NZ,-45.42,51.24,87.0,67.0,1.83,1603837379
eyrarbakki,IS,63.86,42.8,0.0,38.0,11.41,1603837419
kungurtug,RU,50.6,26.42,79.0,81.0,3.02,1603837419
saint-georges,GD,12.06,84.2,20.0,79.0,9.17,1603837085
abu samrah,SY,35.3,77.18,39.0,17.0,16.67,1603837409
yangambi,CD,0.81,72.12,100.0,95.0,0.31,1603837420
galveston,US,29.37,73.99,90.0,88.0,11.41,1603837270
mont-dore,NC,-22.28,82.0,96.0,92.0,9.84,1603837420
maceio,BR,-9.67,78.8,75.0,78.0,12.75,1603837142
cabo san lucas,MX,22.89,82.0,40.0,61.0,4.7,1603837355
antofagasta,CL,-23.65,60.8,40.0,77.0,16.11,1603837420
madona,LV,56.85,53.02,100.0,92.0,11.14,1603837421
maguling,PH,6.09,78.06,100.0,77.0,4.52,1603837421
coquimbo,CL,-29.95,59.0,0.0,67.0,12.75,1603837396
ayan,RU,56.45,34.32,99.0,88.0,9.93,1603837421
rocha,UY,-34.48,58.28,100.0,85.0,12.26,1603837416
kirensk,RU,57.79,24.73,100.0,97.0,2.39,1603837422
khorixas,NA,-20.37,71.94,43.0,24.0,10.94,1603837422
hokitika,NZ,-42.72,58.01,93.0,64.0,5.73,1603837422
bembereke,BJ,10.23,73.72,0.0,41.0,3.47,1603837422
churapcha,RU,62.0,7.16,100.0,94.0,3.71,1603837422
chegdomyn,RU,51.12,32.14,96.0,98.0,2.06,1603837379
bukama,CD,-9.2,72.39,59.0,86.0,1.9,1603837422
thunder bay,CA,48.4,33.01,90.0,88.0,10.29,1603837282
comodoro rivadavia,AR,-45.87,57.2,0.0,33.0,21.92,1603837423
dalhousie,IN,32.53,49.87,0.0,44.0,7.07,1603837423
zemes,RO,46.58,54.0,90.0,100.0,2.24,1603837423
tommot,RU,58.96,12.25,100.0,94.0,3.27,1603837423
nhulunbuy,AU,-12.23,82.4,98.0,78.0,4.7,1603837423
rock sound,BS,24.9,82.09,14.0,80.0,12.75,1603837423
voh,NC,-20.97,80.31,72.0,58.0,6.4,1603837424
bacolod,PH,10.67,78.49,92.0,78.0,4.88,1603837424
iracoubo,GF,5.48,81.21,44.0,77.0,11.03,1603837424
vitim,RU,59.45,13.89,77.0,92.0,2.19,1603837424
nuuk,GL,64.18,24.8,0.0,79.0,6.93,1603836858
inhambane,MZ,-23.86,72.9,78.0,89.0,9.89,1603837403
gueret,FR,46.17,53.01,90.0,100.0,13.87,1603837424
muroto,JP,33.28,59.0,75.0,82.0,10.29,1603837424
hambantota,LK,6.12,78.21,66.0,83.0,7.38,1603837424
araouane,ML,18.9,86.04,0.0,14.0,2.77,1603837341
baiyin,CN,36.56,39.0,90.0,93.0,6.71,1603837425
axim,GH,4.87,78.46,100.0,86.0,8.08,1603837425
karaton,ID,-6.34,77.0,20.0,88.0,3.36,1603837425
glen allen,US,37.67,64.0,90.0,82.0,5.82,1603837425
waingapu,ID,-9.66,79.61,96.0,75.0,4.81,1603837425
kholodnyy,RU,62.72,4.62,68.0,88.0,1.32,1603837425
boden,SE,65.83,39.2,90.0,100.0,2.24,1603837426
rebrikha,RU,53.07,34.65,66.0,80.0,21.0,1603837426
lyndon,US,38.26,55.0,90.0,81.0,4.7,1603837426
turukhansk,RU,65.82,2.23,33.0,86.0,16.37,1603837426
itarema,BR,-2.92,78.84,61.0,80.0,14.88,1603837426
maumere,ID,-8.62,79.83,88.0,76.0,4.59,1603837426
los amates,GT,15.27,88.27,95.0,62.0,1.92,1603837426
ciudad bolivar,VE,8.12,86.0,35.0,56.0,7.25,1603837426
hobyo,SO,5.35,79.14,9.0,81.0,11.43,1603837342
galesong,ID,-5.32,73.4,20.0,94.0,2.24,1603837427
bourg-en-bresse,FR,46.17,53.01,98.0,71.0,4.0,1603837427
pangoa,PE,-12.12,75.27,100.0,92.0,0.87,1603837427
saint-francois,FR,46.42,55.4,90.0,66.0,8.05,1603837405
saldanha,ZA,-33.01,60.8,100.0,82.0,2.24,1603837358
uribia,CO,11.71,85.87,88.0,66.0,7.92,1603837427
chunoyar,RU,57.45,35.82,100.0,93.0,5.93,1603837427
utrera,ES,37.19,60.01,0.0,87.0,4.7,1603837428
sola,VU,-13.88,84.2,40.0,79.0,6.93,1603837428
mitzic,GA,0.78,69.35,94.0,99.0,3.8,1603837428
deputatskiy,RU,69.3,1.98,86.0,93.0,4.88,1603837357
areosa,PT,41.72,63.0,75.0,100.0,9.17,1603837428
trelew,AR,-43.25,65.26,85.0,24.0,22.3,1603837428
salta,AR,-24.79,80.6,20.0,30.0,16.11,1603837428
maneadero,MX,31.72,70.0,0.0,55.0,8.99,1603837428
ubinskoye,RU,55.31,35.06,100.0,85.0,15.03,1603837385
jonkoping,SE,57.78,46.4,75.0,87.0,13.87,1603837429
upernavik,GL,72.79,17.28,0.0,81.0,6.26,1603837359
burgeo,CA,47.62,40.69,65.0,78.0,18.32,1603837429
ostrovnoy,RU,68.05,42.71,100.0,92.0,21.74,1603837360
port moresby,PG,-9.44,82.4,75.0,78.0,11.41,1603837429
boueni,YT,-12.9,75.2,20.0,83.0,4.7,1603837429
atbasar,KZ,51.8,27.73,99.0,93.0,19.84,1603837429
ahmadpur sial,PK,30.68,69.8,0.0,60.0,4.7,1603837429
kurchum,KZ,48.57,52.56,100.0,37.0,20.36,1603837430
yaan,NG,7.38,76.86,0.0,78.0,3.89,1603837430
monteiro,BR,-7.89,77.36,97.0,63.0,9.4,1603837430
nishihara,JP,26.18,73.4,40.0,73.0,9.17,1603837373
bathsheba,BB,13.22,80.6,20.0,88.0,11.41,1603837421
antigonish,CA,45.62,39.99,100.0,84.0,3.0,1603837430
limbang,MY,4.75,77.0,75.0,88.0,2.24,1603837431
san miguel,SV,13.48,87.8,75.0,89.0,4.7,1603837431
saint anthony,US,45.02,33.8,1.0,47.0,16.11,1603837407
ashqelon,IL,31.67,75.99,52.0,100.0,4.79,1603837431
manbij,SY,36.53,60.8,0.0,36.0,6.11,1603837431
micheweni,TZ,-4.97,78.01,1.0,82.0,8.59,1603837411
mezen,RU,65.85,39.27,100.0,97.0,9.78,1603837340
necochea,AR,-38.55,62.01,42.0,71.0,7.0,1603837340
karratha,AU,-20.74,69.3,73.0,88.0,6.44,1603837257
pangkalanbuun,ID,-2.68,72.64,100.0,97.0,1.52,1603837432
nambutalai,IN,9.72,80.42,0.0,76.0,2.21,1603837432
tsiroanomandidy,MG,-18.77,69.85,84.0,66.0,1.25,1603837432
bilibino,RU,68.05,-1.17,83.0,90.0,1.88,1603837432
peniche,PT,39.36,62.01,95.0,87.0,8.99,1603837432
dharchula,IN,29.85,52.02,0.0,39.0,4.12,1603837412
suchiate,MX,14.55,80.6,75.0,83.0,9.57,1603837432
caravelas,BR,-17.71,76.19,73.0,92.0,6.15,1603837337
ardakan,IR,32.31,53.6,0.0,23.0,2.24,1603837433
havelock,US,34.88,71.01,49.0,84.0,3.87,1603837433
dwarka,IN,22.24,80.92,0.0,59.0,10.31,1603837395
ngaoundere,CM,7.32,64.78,15.0,57.0,2.51,1603837433
talnakh,RU,69.49,-4.4,0.0,83.0,5.57,1603837384
fecamp,FR,49.76,53.6,0.0,87.0,13.87,1603837433
sarab,IR,38.61,56.8,100.0,38.0,1.66,1603837434
kimbe,PG,-5.55,83.34,23.0,72.0,1.95,1603837434
cabinda,AO,-5.55,77.05,39.0,88.0,8.01,1603837434
salamanca,ES,40.83,52.0,90.0,87.0,9.17,1603837434
maniwaki,CA,46.38,28.92,96.0,94.0,2.91,1603837434
kasangulu,CD,-4.59,73.74,73.0,89.0,2.66,1603837434
cikupa,ID,-6.24,77.0,20.0,88.0,3.36,1603837434
saint-augustin,CA,51.23,31.41,81.0,90.0,3.06,1603837416
rio grande,BR,-32.03,63.0,100.0,99.0,11.99,1603837365
ayni,TJ,39.39,48.02,95.0,44.0,6.89,1603837435
talas,TR,38.69,68.0,0.0,22.0,9.17,1603837435
aksay,RU,47.26,50.0,20.0,61.0,26.84,1603837435
shepsi,RU,44.04,68.49,0.0,50.0,7.16,1603837425
genhe,CN,50.78,19.09,74.0,94.0,5.77,1603837435
ayorou,NE,14.73,85.87,0.0,12.0,7.61,1603837436
raichur,IN,16.2,70.38,1.0,80.0,2.42,1603837436
kholmy,UA,51.87,46.4,0.0,72.0,9.89,1603837436
victor harbor,AU,-35.57,61.0,0.0,72.0,1.83,1603837436
muisne,EC,0.6,74.75,100.0,85.0,12.59,1603837436
belyy yar,RU,53.6,26.6,89.0,92.0,2.24,1603837436
nieuw amsterdam,SR,5.88,84.2,20.0,74.0,9.17,1603837436
kandrian,PG,-6.22,82.17,38.0,78.0,2.89,1603837437
price,US,39.6,44.6,1.0,20.0,4.7,1603837437
tilichiki,RU,60.47,23.79,81.0,92.0,10.07,1603837385
bubaque,GW,11.28,82.83,57.0,81.0,10.04,1603837437
jiangyou,CN,31.77,55.17,81.0,77.0,0.96,1603837437
biltine,TD,14.53,82.11,0.0,17.0,8.48,1603837437
san-pedro,CI,4.75,77.86,51.0,90.0,6.51,1603837437
praia da vitoria,PT,38.73,64.4,75.0,68.0,7.36,1603837422
nyzhni sirohozy,UA,46.85,53.2,0.0,67.0,10.56,1603837438
swift current,CA,50.28,46.4,20.0,61.0,18.34,1603837438
kingman,US,35.19,66.0,1.0,8.0,13.87,1603837438
torbat-e jam,IR,35.24,51.98,13.0,42.0,13.87,1603837438
mao,ES,39.89,55.4,12.0,76.0,4.7,1603837438
shelburne,CA,44.08,39.2,90.0,93.0,3.36,1603837169
tual,ID,-5.67,83.26,81.0,75.0,11.14,1603837399
christchurch,NZ,-43.53,57.2,100.0,58.0,11.41,1603837439
walvis bay,NA,-22.96,59.0,25.0,82.0,9.17,1603837439
dalbandin,PK,28.89,55.22,0.0,31.0,2.51,1603837334
sri aman,MY,1.24,75.0,100.0,100.0,1.95,1603837439
gasa,PS,31.5,75.99,63.0,100.0,5.01,1603837439
plettenberg bay,ZA,-34.05,61.81,77.0,67.0,6.31,1603837388
kwidzyn,PL,53.72,48.0,56.0,89.0,1.99,1603837439
mehamn,NO,71.04,32.0,0.0,84.0,8.05,1603837440
diamantino,BR,-14.41,81.32,93.0,72.0,2.86,1603837369
polovinnoye,RU,54.79,26.2,98.0,94.0,18.45,1603837440
anchorage,US,61.22,34.0,75.0,86.0,3.8,1603837440
nyuksenitsa,RU,60.41,38.95,100.0,92.0,9.84,1603837440
